Mapper1,Mapper2,Upper Bound
A_0,A_0,0
A_0,A_1,1
A_0,A_2,0
A_0,A_3,0
A_0,A_4,0
A_0,A_5,1
A_0,A_6,0
A_0,A_7,0
A_0,A_8,0
A_1,A_0,1
A_1,A_1,0
A_1,A_2,1
A_1,A_3,1
A_1,A_4,1
A_1,A_5,0
A_1,A_6,1
A_1,A_7,1
A_1,A_8,1
A_2,A_0,0
A_2,A_1,1
A_2,A_2,0
A_2,A_3,0
A_2,A_4,0
A_2,A_5,1
A_2,A_6,0
A_2,A_7,0
A_2,A_8,0
A_3,A_0,0
A_3,A_1,1
A_3,A_2,0
A_3,A_3,0
A_3,A_4,0
A_3,A_5,1
A_3,A_6,0
A_3,A_7,0
A_3,A_8,0
A_4,A_0,0
A_4,A_1,1
A_4,A_2,0
A_4,A_3,0
A_4,A_4,0
A_4,A_5,1
A_4,A_6,0
A_4,A_7,0
A_4,A_8,0
A_5,A_0,1
A_5,A_1,0
A_5,A_2,1
A_5,A_3,1
A_5,A_4,1
A_5,A_5,0
A_5,A_6,1
A_5,A_7,1
A_5,A_8,1
A_6,A_0,0
A_6,A_1,1
A_6,A_2,0
A_6,A_3,0
A_6,A_4,0
A_6,A_5,1
A_6,A_6,0
A_6,A_7,0
A_6,A_8,0
A_7,A_0,0
A_7,A_1,1
A_7,A_2,0
A_7,A_3,0
A_7,A_4,0
A_7,A_5,1
A_7,A_6,0
A_7,A_7,0
A_7,A_8,0
A_8,A_0,0
A_8,A_1,1
A_8,A_2,0
A_8,A_3,0
A_8,A_4,0
A_8,A_5,1
A_8,A_6,0
A_8,A_7,0
A_8,A_8,0
A_0,B_0,3
A_0,B_1,3
A_0,B_2,3
A_0,B_3,3
A_0,B_4,3
A_0,B_5,3
A_0,B_6,3
A_0,B_7,3
A_0,B_8,3
A_1,B_0,2
A_1,B_1,2
A_1,B_2,2
A_1,B_3,2
A_1,B_4,2
A_1,B_5,2
A_1,B_6,2
A_1,B_7,2
A_1,B_8,2
A_2,B_0,3
A_2,B_1,3
